NOMBRE,ASIGNACIÓN,COMPLEMENTO,GASTO DE REPRESENTACIÓN,GASTO DE LIBRE DISPOSICIÓN,PORTAVOCES (PORTAVOCES+ADJUNTOS),COMISIONES,INDEMNIZACIÓN,TOTAL MES,TOTAL AÑO,PROVINCIA,SEXO,Madrid,MP,MV,MS,GPO,GPA,CP,CV,CS,CPO,CPA,
"Bertomeu Bertomeu, Juan",2813.87,0,0,,,697.65,1823.86,5335.38,74695.32,Tarragona,M,,,,,,,,,,,x,
"Blanco Terán, Rosa Delia",2813.87,0,0,0,0,1046.48,870.56,4730.91,66232.74,Madrid,F,x,,,,,,,x,,,,
"Blanquer Alcaraz, Patricia",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Alicante,F,,,,,,,,,,x,,
"Blasco Soto, Miriam Guadalupe",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Alicante,F,,,,,,,,,,x,,
"Bolarín Sánchez, María Dolores",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Murcia,F,,,,,,,,,,,x,
"Bonilla Domínguez, María Jesús",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Cuenca,F,,,,,,,,x,,,,
"Bosch i Pascual, Alfred",2813.87,0,0,0,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,,,x,,
"Bravo Ibáñez, Mª Concepción",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,La Rioja,F,,,,,,,,,,x,,
"Buyolo García, Federico",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Alicante,M,,,,,,,,,,,x,
"Cabello de Alba Hernández, Federico",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Córdoba,M,,,,,,,,,x,,,
"Cabrera García, Francisco Domingo",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Las Palmas,M,,,,,,,,,,,x,
"Caicedo Bernabé, Jesús",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Almería,M,,,,,,,,x,,,,
"Caldera Sánchez-Capitán, Jesús",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Salamanca,M,,,,,,,,x,,,,
"Campos Arteseros, Herick Manuel",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Alicante,M,,,,,,,,,,,x,
"Camps Devesa, Gerardo",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Alicante,M,,,,,,,x,,,,,
"Campuzano i Canadés, Carles",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,,,x,x,
"Candón Adán, Alfonso",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Cádiz,M,,,,,,,,,,,x,
"Canongia Gerona, Joan",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Barcelona,M,,,,,,,,,x,,,
"Cantó García del Moral, Antonio",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Valencia,M,,,,,,,,,,x,,
"Carcedo Roces, María Luisa",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Asturias,F,,,,,,,,,,x,,
"Carreño Fernández, María Ascensión",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Murcia,F,,,,,,,,,,,x,
"Casado Blanco, Pablo",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Ávila,M,,,,,,,,,,x,,
"Castellano Ramón, Helena",2813.87,,,,,697.65,1823.86,5335.38,74695.32,León,F,,,,,,,,,x,,,
"Castillo Calvín, José Miguel",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Granada,M,,,,,,,,,,x,,
"Cediel Martínez, María Virtudes",2813.87,,,,,697.65,870.56,4382.08,61349.12,Madrid,F,x,,,,,,,,,,x,
"Centella Gómez, José Luis",2813.87,,1424.62,662.45,,1046.48,1823.86,7771.28,108797.92,Sevilla,M,,,,,,x,,,,x,x,Portavoz Sustituto de la Junta de Portavoces
"Chaves González, Manuel María",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Cádiz,M,,,,,,,x,,,,,
"Cid Muñoz, Margarita del Carmen del",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Málaga,F,,,,,,,,,,,x,Diputada sustituida por Jesús Ignacio Vázquez García
"Císcar Casabán, Ciprià",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Valencia,M,,,,,,,,,,x,,
"Ciuró i Buldó, Lourdes",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,F,,,,,,,,,,x,x,
"Cobaleda Hernández, María Teresa",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Salamanca,F,,,,,,,,,,,x,
"Cobos Trallero, Sara",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Zaragoza,F,,,,,,,,,x,,,
"Collarte Rodríguez, Guillermo",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Ourense,M,,,,,,,,,,,x,
"Conde Bajén, Agustín",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Toledo,M,,,,,,,x,,,,,
"Conde Martínez, Gema",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Burgos,F,,,,,,,,,x,,,
"Corcuera Plaza, Juan Carlos",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,,x,x,,
"Cortés Bureta, Pilar",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Zaragoza,F,,,,,,,,,,,x,
"Cortés Martín, Miguel Ángel",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Valladolid,M,,,,,,,x,,,,,
"Cortizo Nieto, Miguel Ángel",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,A Coruña,M,,,,,,,,x,,,,
"Coscubiela Conesa, Joan",2813.87,,1424.62,662.45,,1046.48,1823.86,7771.28,108797.92,Barcelona,M,,,,,,x,,,,x,x,Portavoz Sustituto de la Junta de Portavoces
"Costa Palacios, María Angelina",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Córdoba,F,,,,,,,,,,x,,
"Cuadra Lasarte, Sabino",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Navarra,M,,,,,,,,,,x,x,
"Cunillera Mestres, Teresa",2813.87,944.49,818.46,677.35,,697.65,1823.86,7775.68,108859.52,Lleida,F,,,,x,,,,,x,,,
"De las Heras Ladera, Ascensión",2813.87,,,,,1046.48,870.56,4730.91,66232.74,Madrid,F,x,,,,,,,,,x,x,
