NOMBRE,ASIGNACIÓN,COMPLEMENTO,GASTO DE REPRESENTACIÓN,GASTO DE LIBRE DISPOSICIÓN,PORTAVOCES (PORTAVOCES+ADJUNTOS),COMISIONES,INDEMNIZACIÓN,TOTAL MES,TOTAL AÑO,PROVINCIA,SEXO,Madrid,MP,MV,MS,GPO,GPA,CP,CV,CS,CPO,CPA,
"Madrazo Díaz, Ana María",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Cantabria,F,,,,,,,,,,x,,
"Marcos Domínguez, Pilar",2813.87,,,,,697.65,870.56,4382.08,61349.12,Madrid,F,x,,,,,,,,x,,,
"Mariscal Anaya, Guillermo",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Las Palmas,M,,,,,,,,,,x,,
"Márquez de la Rubia, Francisco",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Ceuta,M,,,,,,,,,,,x,
"Martínez Ferro, María Valentina",2813.87,,,,,,870.56,3684.43,51582.02,Madrid,F,x,,,,,,,,,,,
"Martínez Gorriarán, Carlos",2813.87,,,,2087.07,1046.48,870.56,6817.98,95451.72,Madrid,M,x,,,,,x,,,,x,,Portavoz Sustituto de la Junta de Portavoces
"Martínez Olmos, José",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Granada,M,,,,,,,,,,x,,
"Martínez-Pujalte López, Vicente",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Murcia,M,,,,,,,,,,x,,
"Martínez Rodríguez, Santiago",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Alicante,M,,,,,,,,,,,x,
"Martínez Saiz, Teófila",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Cádiz,F,,,,,,,,x,,,,
"Martín González, María Guadalupe",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Toledo,F,,,,,,,,,,,x,
"Martín González, Telmo",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Pontevedra,M,,,,,,,,x,,,,
"Martín Peré, Pablo",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Illes Balears,M,,,,,,,,,,x,x,
"Martín Pozo, María Teresa",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Zamora,F,,,,,,,,,,,x,
"Martín Rodríguez, Enrique Luis",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Palencia,M,,,,,,,,,,,x,
"Martín-Toledano Suárez, José Alberto",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Ciudad Real,M,,,,,,,,,,,x,
"Matarí Sáez, Juan José",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Almería,M,,,,,,,,,,x,,
"Matos Mascareño, Pablo",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Santa Cruz de Tenerife,M,,,,,,,x,,,,,
"Meijón Couselo, Guillermo Antonio",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Pontevedra,M,,,,,,,,,,,x,
"Méndez Monasterio, Lourdes",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Murcia,F,,,,,,,x,,,,,
"Merino López, Rafael",2813.87,,,,,,1823.86,4637.73,64928.22,Córdoba,M,,,,,,,,,,,,
"Micheo Carrillo-Albornoz, Julia de",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Alicante,F,,,,,,,,x,,,,
"Miguélez Pariente, María Aránzazu",2813.87,,,,,697.65,1823.86,5335.38,74695.32,León,F,,,,,,,,,,,x,
"Mingo Zapatero, Mario",2813.87,,,,,1431.31,870.56,5115.74,71620.36,Madrid,M,x,,,,,,x,,,,,
"Molinero Hoyos, Francisco",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Albacete,M,,,,,,,,,x,,,
"Moneo Díez, María Sandra",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Burgos,F,,,,,,,,,,x,,
"Monteserín Rodríguez, María Virtudes",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Asturias,F,,,,,,,,,,x,,
"Montesinos de Miguel, Macarena",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Alicante,F,,,,,,,,,,x,,
"Montón Giménez, Carmen",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Valencia,F,,,,,,,,,,x,,
"Montserrat Montserrat, Dolors",2813.87,1209.6,1010.83,707.1,,0,1823.86,7565.26,105913.64,Barcelona,F,,,x,,,,,,,,,
"Mora Bernat, Manuel",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Huesca,M,,,,,,,,,x,,,
"Moragas Sánchez, Jorge",2813.87,,,,,0,1823.86,4637.73,64928.22,Barcelona,M,,,,,,,,,,,,
"Moraleja Gómez, Tristana María",2813.87,,,,,697.65,1823.86,5335.38,74695.32,A Coruña,F,,,,,,,,,,,x,
"Moreno Bustos, Ramón",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Zaragoza,M,,,,,,,,,,x,,
"Moreno Felipe, Irene",2813.87,,,,,0,1823.86,4637.73,64928.22,Albacete,F,,,,,,,,,,,,
"Moreno Palanques, Rubén",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Valencia,M,,,,,,,,,,x,,causó baja el 5 de diciembre. Sustituido por María Martín Revuelta 
"Morlán Gracia, Víctor",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Huesca,M,,,,,,,,x,,,,
"Moro Almaraz, María Jesús",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Salamanca,F,,,,,,,,,,x,,
"Moscoso del Prado Hernández, Juan",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Navarra,M,,,,,,,,,,x,,
"Muñoz González, Pedro José",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Ávila,M,,,,,,,,x,,,,
"Muñoz Obón, Carlos Enrique",2813.87,0,0,0,0,0,1823.86,4637.73,64928.22,Teruel,M,,,,,,,,,,,,
"Muñoz Santamaría, Lourdes",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Barcelona,F,,,,,,,,,,,x,
"Nasarre Goicoechea, Eugenio",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Granada,M,,,,,,,,x,,,,
"Navarro Cruz, María del Carmen",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Almería,F,,,,,,,,,,x,,
"Nuet Pujals, Joan Josep",2813.87,,,,2087.07,1046.48,1823.86,7771.28,108797.92,Barcelona,M,,,,,,x,,,,x,x,Portavoz Sustituto de la Junta de Portavoces
"Olabarría Muñoz, Emilio",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Álava,M,,,,,,,x,,,x,,
"Olano Vela, Jaime Eduardo de",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Lugo,M,,,,,,,,,,,x,
"Oramas González-Moro, Ana María",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Santa Cruz de Tenerife,F,,,,,,,,,,x,x,
"Ordóñez Puime, Gonzalo José",2813.87,,,,,0,1823.86,4637.73,64928.22,Pontevedra,M,,,,,,,,,,,,
"Ortiz Castellví, Laia",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,F,,,,,,,,,,x,x,
"Pacheco Atienza, Arsenio",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Murcia,M,,,,,,,,,x,,,
"Pàramo i Ponsetí, Carles",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Girona,M,,,,,,,,,,x,x,
"Pastor González, Ildefonso R.",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Valladolid,M,,,,,,,,,,,x,
"Pérez Domínguez, María Soledad",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Badajoz,F,,,,,,,,x,,,,
"Pérez Fernández, Rosana",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,A Coruña,F,,,,,,,,,,x,x,
"Pérez Herraiz, Margarita",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Lugo,F,,,,,,,,,,,x,
"Pérez-Hickman Silván, Mariano",2813.87,,,,,697.65,870.56,4382.08,61349.12,Madrid,M,x,,,,,,,,x,,,
"Pérez Insua, Antonio",2813.87,,,,,697.65,1823.86,5335.38,74695.32,A Coruña,M,,,,,,,,,,,x,
"Pérez Lapazarán, José Cruz",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Navarra,M,,,,,,,,,,x,,
"Pezzi Cereto, Manuel",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Granada,M,,,,,,,,,,x,,
"Picó i Azanza, Antoni",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,,,x,x,
"Posada Moreno, Jesús",2813.87,3064.57,3327.89,2728.57,,1431.31,1823.86,15190.07,212660.98,Soria,M,,x,,,,,x,,,,,
"Pozuelo Meño, María Isabel",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Sevilla,F,,,,,,,,,,,x,
"Prada Presa, Alfredo",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,León,M,,,,,,,x,,,,,
"Pradas Torres, Antonio Francisco",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Sevilla,M,,,,,,,,,,x,,
"Puche Rodríguez-Acosta, Gabino",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Jaén,M,,,,,,,x,,,,,
"Puente Redondo, Javier",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Cantabria,M,,,,,,,,,,,x,
"Puig Ferrer, Joaquín Francisco",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Castellón,M,,,,,,,,,,x,,
"Puyuelo del Val, María Blanca",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Huesca,F,,,,,,,,,x,,,
"Quevedo Iturbe, Pedro",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Las Palmas,M,,,,,,,,,,x,x,
"Quintanilla Barba, María del Carmen",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Ciudad Real,F,,,,,,,x,,,,,
"Ramis Socias, Miquel",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Illes Balears,M,,,,,,,x,,,,,
"Ramón Utrabo, Elvira",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Granada,F,,,,,,,,,x,,x,
"Rangel Tarrés, Joan",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,,,x,,
"Riera i Reñé, Inmaculada",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,F,,,,,,,,,,x,x,
"Rocha Rubí, Manuel de la",2813.87,,,,,697.65,870.56,4382.08,61349.12,Madrid,M,x,,,,,,,,,,x,
"Rodríguez Barahona, María Teresa",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Álava,F,,,,,,,,,,,x,
"Rodríguez Flores, María Carmen",2813.87,,,,,,870.56,3684.43,51582.02,Madrid,F,x,,,,,,,,,,,
"Rodríguez García, Isabel",2813.87,,,,2087.07,697.65,1823.86,7422.45,103914.3,Ciudad Real,F,,,,,,x,,,x,,,Portavoz Sustituto de la Junta de Portavoces
"Rodríguez Maniega, María del Carmen",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Asturias,F,,,,,,,,x,,,,
"Rodríguez Ramírez, María José",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Huelva,F,,,,,,,,,x,,x,
"Rodríguez Ramos, María Soraya",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Valladolid,F,,,,,,,,x,,,,
"Rodríguez-Salmones Cabeza, Beatriz",2813.87,,,,2087.07,,870.56,5771.5,80801,Madrid,F,x,,,,,x,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Rodríguez Sánchez, Germán",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,,x,x,,
"Rodríguez Sánchez, María Felicidad",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Cádiz,F,,,,,,,,,,,x,
"Rodríguez Vázquez, María Paloma",2813.87,,,,,697.65,1823.86,5335.38,74695.32,A Coruña,F,,,,,,,,,,,x,
"Román Jasanada, Antonio",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Guadalajara,M,,,,,,,,x,,,,
"Romero Girón, Aurelio",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Cádiz,M,,,,,,,x,,,,,
"Romero Hernández, Carmelo",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Huelva,M,,,,,,,,,x,,,
"Romero Rodríguez, María Eugenia",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Sevilla,F,,,,,,,,,,,x,
"Romero Sánchez, Rosa María",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Ciudad Real,F,,,,,,,,x,,,,
"Rominguera Salazar, María del Mar",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Zamora,F,,,,,,,,,x,,,
"Ros Martínez, Susana",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Castellón,F,,,,,,,,,,,x,
"Ruano Gómez, Juan de Dios",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,A Coruña,M,,,,,,,,,,x,,
"Ruiz i Carbonell, Joan",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Tarragona,M,,,,,,,,,x,,,
"Ruiz Llamas, Román",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,x,,,x,
"Rumí Ibáñez, María Consuelo",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Almería,F,,,,,,,,,,x,,
"Sáez Jubero, Àlex",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Girona,M,,,,,,,,,,,x,
"Sahuquillo García, Luis Carlos",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Cuenca,M,,,,,,,,,,,x,
"Salvador Armendáriz, Carlos Casimiro",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Navarra,M,,,,,,,,,,x,x,
"Sánchez Amor, José Ignacio",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Badajoz,M,,,,,,,,,,,x,
"Sánchez Barrera, José Juan",2813.87,,,,,0,1823.86,4637.73,64928.22,Jaén,M,,,,,,,,,,,,
"Sánchez de Alcázar Ocaña, Miguel",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Jaén,M,,,,,,,,,x,,,
"Sánchez Díaz, María Carmen",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Cádiz,F,,,,,,,,x,,,,
"Sánchez Díaz, Ovidio",2813.87,,,,,1431.31,1823.86,6069.04,84966.56,Asturias,M,,,,,,,x,,,,,
"Sánchez García, Celinda",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Palencia,F,,,,,,,,x,,,,
"Sánchez i Llibre, Josep",2813.87,,,662.45,1424.62,1046.48,1823.86,7771.28,108797.92,Barcelona,M,,,,,,x,,,,x,x,Portavoz Sustituto de la Junta de Portavoces
"Sánchez Pérez-Castejón, Pedro",2813.87,,,,,0,870.56,3684.43,51582.02,Madrid,M,x,,,,,,,,,,,
"Sánchez Robles, Isabel",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Bizkaia,F,,,,,,,,,,x,,
"Santa Ana Fernández, María de la Concepción de",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Granada,F,,,,,,,,,,,x,
"Sanz Remón, Álvaro",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Zaragoza,M,,,,,,,,,,x,x,
"Saura García, Pedro",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Murcia,M,,,,,,,,,,x,,
"Sayós i Motilla, Maria Carme",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,F,,,,,,,,,,x,x,
"Seara Sobrado, Laura Carmen",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Ourense,F,,,,,,,,,,x,x,
"Segura Clavell, José",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Santa Cruz de Tenerife,M,,,,,,,,,,x,,
"Serrano Argüello, María Arenales",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Valladolid,F,,,,,,,,,,x,,
"Serrano Calurano, Bibiano",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Badajoz,M,,,,,,,,,,,x,
"Serrano Coronado, Daniel",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,,,x,,
"Serrano Martínez, José Enrique",2813.87,,,,,1046.48,870.56,4730.91,66232.74,Madrid,M,x,,,,,,,x,,,,
"Sicilia Alférez, Felipe Jesús",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Jaén,M,,,,,,,,,,,x,
"Silva Rego, María del Carmen",2813.87,944.49,818.46,677.35,,697.65,1823.86,7775.68,108859.52,Pontevedra,F,,,,x,,,,,x,,,
"Simancas Simancas, Rafael",2813.87,0,0,0,0,1046.48,870.56,4730.91,66232.74,Madrid,M,x,,,,,,,,,x,,
"Sixto Iglesias, Ricardo",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Valencia,M,,,,,,,,,,x,x,
"Solsona Aixalà, Marc",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Lleida,M,,,,,,,,,x,x,x,
"Suárez-Bárcena Blasco, María Cristina",2813.87,0,0,0,0,0,1823.86,4637.73,64928.22,Badajoz,F,,,,,,,,,,,,
"Suárez Lamata, Eloy",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Zaragoza,M,,,,,,,,,,x,,
"Such Botella, Antoni",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Valencia,M,,,,,,,,,,,x,
"Sumelzo Jordán, Susana",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Zaragoza,F,,,,,,,,,,x,,
"Surroca i Comas, Montserrat",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Girona,F,,,,,,,,,,x,x,
"Susinos Tarrero, María Jesús",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Cantabria,F,,,,,,,,,,,x,
"Tardà i Coma, Joan",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Barcelona,M,,,,,,,,,,x,x,
"Tarno Blanco, Ricardo",2813.87,0,0,0,0,1431.31,1823.86,6069.04,84966.56,Sevilla,M,,,,,,,x,,,,,
"Tarruella Tomás, María Concepció",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Lleida,F,,,,,,,,,,x,x,
"Torrado de Castro, Marta",2813.87,0,0,662.45,1424.62,0,1823.86,6724.8,94147.2,Valencia,F,,,,,,x,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Torres Herrera, Manuel Luis",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Santa Cruz de Tenerife,M,,,,,,,,,x,,,
"Torres Mora, José Andrés",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Málaga,M,,,,,,,,,,x,,
"Trevín Lombán, Antonio Ramón María",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Asturias,M,,,,,,,,,,x,,
"Tudanca Fernández, Luis",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Burgos,M,,,,,,,,,x,,x,
"Urbina Fernández, Iker",2813.87,,,,,1046.48,1823.86,5684.21,79578.94,Álava,M,,,,,,,,,,x,,
"Uriarte Ayala, Ignacio",2813.87,,,,,697.65,1823.86,5335.38,74695.32,Valencia,M,,,,,,,,,,,x,
"Valerio Cordero, Magdalena",2813.87,0,0,662.45,1424.62,0,1823.86,6724.8,94147.2,Guadalajara,F,,,,,,x,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Vallès Vives, Francesc",2813.87,0,0,662.45,1424.62,0,1823.86,6724.8,94147.2,Tarragona,M,,,,,,x,,,,,,Portavoz Sustituto de la Junta de Portavoces
"Vañó Ferre, Francisco",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Toledo,M,,,,,,,,,,x,,
"Varela Lema, Margarita",2813.87,,,,,0,1823.86,4637.73,64928.22,A Coruña,F,,,,,,,,,,,,
"Vázquez Blanco, Ana Belén",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Ourense,F,,,,,,,,x,,,,
"Vázquez Jiménez, Antonio",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Zamora,M,,,,,,,,x,,,,
"Vázquez Morillo, María José",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Sevilla,F,,,,,,,,,,,x,
"Vera Pró, Juan Carlos",2813.87,0,0,0,0,1046.48,870.56,4730.91,66232.74,Madrid,M,x,,,,,,,x,,,,
"Veray Cama, Concepció",2813.87,0,0,0,0,697.65,1823.86,5335.38,74695.32,Girona,F,,,,,,,,,,,x,
"Viera Chacón, José Antonio",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Sevilla,M,,,,,,,,x,,,,
"Villalobos Talero, Celia",2813.87,1209.6,1010.83,707.10,0,1046.48,1823.86,8611.74,120564.36,Málaga,F,,,x,,,,,x,,,,
"Villanova Rueda, Joaquín",2813.87,0,,0,0,697.65,1823.86,5335.38,74695.32,Málaga,M,,,,,,,,,,,x,
"Villarrubia Mediavilla, Julio",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Palencia,M,,,,,,,,x,,,,
"Xuclà i Costa, Jordi",2813.87,0,0,0,0,1046.48,1823.86,5684.21,79578.94,Girona,M,,,,,,,,,,x,x,
"Zaragoza Alonso, José",2813.87,0,,0,0,697.65,1823.86,5335.38,74695.32,Barcelona,M,,,,,,,,,,,x,
"Zarrías Arévalo, Gaspar Carlos",2813.87,,0,0,0,1046.48,1823.86,5684.21,79578.94,Jaén,M,,,,,,,,x,,,,
